,batch,gender,music_streaming_platform,language_music_primary,music_language_secondary,fav_music_genre,fav_music_genre_2,num_concerts,num_songs_playlist,fav_musical_ins,play_instrument,fav_music_artist,fav_music_band,movie_streaming_platform,fav_movie_genre,fav_tvseries_genre,movie_watching_mode,movie_preference,fav_movie_actor,fav_series_actor,fav_movie,fav_series,time_movie_week,highest_binge_hr,opp_barb
50,CSIT 2026,Male,YouTube,Nepali,Hindi,Classical / Traditional,Indie,10,25,Guitar,,Sajin Maharjan,Elements,Torrent / Download,Anime,Anime,Cinema,South Indian,Hero Alom,Issei Hyouda,DJ,The time i got reincarnated as a slime ,6,14,Oppenheimer
51,CSIT 2026,Male,YouTube,English,Nepali,Rap / HipHop,Instrumental / Soul,4,21,Drums,Drums,Eminem,Linkin Park,"Streaming Sites (Netflix, Disney+, Hulu, etc.)",Others,Others,TV,Hollywood,Tom Cruise,Cilian Murphy,The Fast and the Furious: Tokyo Drift,Game Of Thrones,5,8,Oppenheimer
52,CSIT 2026,Male,YouTube,English,Nepali,Pop,Classical / Traditional,2,558,Piano / Keyboard,,Amrit Gurung ,Nepathya,Torrent / Download,Thriller,Crime,Laptop / PC,Hollywood,Tom Holland ,Bryan Cranston,The Shawshank Redemption,Breaking Bad,10,8,Barbie
53,CSIT 2026,Female,Spotify,Hindi,Hindi,Indie,Pop,1,17,Guitar,,Taylor Swift,Pink Floyd ,"Streaming Sites (Netflix, Disney+, Hulu, etc.)",Sci-Fi,Comedy,Laptop / PC,Hollywood,Leonardo Dicaprio,Matthew Perry,The Notebook,Friends,8,10,Oppenheimer
54,CSIT 2026,Male,YouTube,Nepali,English,Rock / Metal / Grunge,Classical / Traditional,7,12,Guitar,Guitar,Bipul Chettri,Pink Floyd,Unofficial Streaming Sites (FMovies) etc.,Horror,Comedy,Cinema,Hollywood,Johnny Depp,Cilian Murphy,Titanic,Kota Factory ,0,5,Barbie
55,CSIT 2026,Female,Spotify,Hindi,English,Instrumental / Soul,Bollywood,1,15,Guitar,,Taylor Swift,One Direction,Torrent / Download,Comedy,Sci-Fi,Laptop / PC,Bollywood,Scarlett Johanson,Tvd,Me Before You,Riverdale,5,10,Barbie
56,CSIT 2026,Male,YouTube,English,Others,Pop,Rock / Metal / Grunge,1,40,Guitar,,Pitbull,Beatles,"Streaming Sites (Netflix, Disney+, Hulu, etc.)",Sci-Fi,Thriller,Laptop / PC,Hollywood,Garryold Man,Ian Somerhalder,Pirates of Caribbean ,Game Of Thrones,5,13,Oppenheimer
57,CSIT 2026,Male,YouTube,Nepali,English,Classical / Traditional,Rock / Metal / Grunge,4,100,Guitar,,Bipul Chettri,The Edge Band,Unofficial Streaming Sites (FMovies) etc.,Crime,Crime,Laptop / PC,Hollywood,Robert Downey Jr.,Peter Dinklage,Avengers: Endgame,Game Of Thrones,8,12,Oppenheimer
58,CSIT 2026,Male,YouTube,Hindi,Hindi,Instrumental / Soul,EDM / Funk,10,0,Saxophone,Saxophone,Arjit Singh,The Local Train,"Streaming Sites (Netflix, Disney+, Hulu, etc.)",Romance / Love Story,Romance / Love Story,Phone / Tablet,South Indian,(empty),Brie Larson,Harry Potter,Friends,2,6,Oppenheimer
59,CSIT 2026,Male,YouTube,English,Nepali,Others,Others,0,3,Piano / Keyboard,Guitar,Jim Reeves,Oceans,Unofficial Streaming Sites (FMovies) etc.,Anime,Romance / Love Story,TV,Others,Jim Caviezel,Jim Caviezel,The Sound of Freedom,I Don't Know Anything Till Now,4,3,Oppenheimer
60,CSIT 2026,Female,YouTube,English,Nepali,Pop,Instrumental / Soul,2,20,Guitar,Guitar,Taylor Swift,Nepathya,Unofficial Streaming Sites (FMovies) etc.,Crime,Anime,Laptop / PC,Korean,Robert Downey Jr.,Jennifier Anniston,Harry Potter,Friends,10,13,Barbie
61,CSIT 2026,Male,YouTube,English,Nepali,Instrumental / Soul,EDM / Funk,9,96,Guitar,Drums,Ed Sheeran,Coldplay,Unofficial Streaming Sites (FMovies) etc.,Sci-Fi,Thriller,Laptop / PC,Hollywood,Elizabeth Olsen,Elizabeth Olsen,Dune,Moon Knight,4,14,Oppenheimer
62,CSIT 2026,Female,YouTube,English,Hindi,Bollywood,Others,1,2,Piano / Keyboard,,Shreya Ghosal,Nepathya,YouTube,Comedy,Others,Cinema,Bollywood,Deepika Padukone,(empty),Three Idiots,Breaking Bad,6,2,Barbie
63,CSIT 2026,Female,Spotify,English,Others,Pop,Others,1,247,Piano / Keyboard,Whistling,(empty),One Direction,"Streaming Sites (Netflix, Disney+, Hulu, etc.)",Crime,Comedy,Laptop / PC,Hollywood,Cillian Murphy,Cilian Murphy,Legend of the Guardians: The Owls of Ga'hoole,Lord Of The Rings,5,18,Barbie
64,CSIT 2026,Male,Spotify,English,Nepali,Others,Rock / Metal / Grunge,1,12,Guitar,Harmonica,Selena Gomez,1974 AD,"Streaming Sites (Netflix, Disney+, Hulu, etc.)",Thriller,Crime,Cinema,Hollywood,Tom Cruise,Millie Bobby Brown,Avengers: Endgame,Breaking Bad,10,17,Barbie
65,CSIT 2026,Female,Spotify,Others,Hindi,Pop,Bollywood,0,148,Guitar,,Gracie Abrams,BTS,Unofficial Streaming Sites (FMovies) etc.,Comedy,Romance / Love Story,Laptop / PC,Bollywood,Ranbir Kapoor,Bryan Cranston,Wake Up Sid,Emily in Paris,0,12,Barbie
66,CSIT 2026,Male,YouTube,Others,Others,EDM / Funk,Pop,0,2,Drums,,(empty),Chon,TV / Cable,Comedy,Thriller,TV,Hollywood,Leonardo Dicaprio,Henry Cavill,Pirates of Caribbean ,Breaking Bad,1,1,Barbie
67,CSIT 2026,Male,Spotify,English,Others,Pop,Rock / Metal / Grunge,2,4000,Guitar,Guitar,Ed Sheeran,Arctic Monkeys,"Streaming Sites (Netflix, Disney+, Hulu, etc.)",Sci-Fi,Anime,Laptop / PC,Hollywood,Ryan Reynolds,(empty),Barbie,Breaking Bad,2,16,Barbie
68,CSIT 2026,Male,YouTube,English,Nepali,Rap / HipHop,Pop,0,25,Guitar,,(empty),(empty),Unofficial Streaming Sites (FMovies) etc.,Anime,Sci-Fi,TV,Japanese,(empty),(empty),A Silent Voice,Squid Game,2,15,Oppenheimer
69,CSIT 2026,Male,Spotify,English,Nepali,Rap / HipHop,Instrumental / Soul,4,75,Piano / Keyboard,Guitar,Kanye West,Radiohead,Unofficial Streaming Sites (FMovies) etc.,Crime,Horror,Cinema,Hollywood,Al Pacino,Cilian Murphy,Whiplash,Haunting Of Hill House,1,18,Barbie
70,CSIT 2026,Female,Spotify,English,Hindi,Rap / HipHop,Bollywood,1,887,Piano / Keyboard,,Weeknd,Cigarettes After Sex,YouTube,Thriller,Crime,Laptop / PC,Bollywood,Deepika Padukone,Usula Corbero,Rocky Aur Rani,Money Heist,3,11,Barbie
71,CSIT 2026,Male,YouTube,English,Hindi,Pop,Bollywood,1,30,Guitar,Guitar,Atif Aslam,5 Seconds Of Summer ,Unofficial Streaming Sites (FMovies) etc.,Comedy,Comedy,Cinema,Hollywood,Leonardo Dicaprio,Matt Leblanc,Inception,Friends,5,8,Oppenheimer
72,CSIT 2026,Male,YouTube,Nepali,English,Rap / HipHop,Rock / Metal / Grunge,5,0,Guitar,Guitar,(empty),Albatross ,"Streaming Sites (Netflix, Disney+, Hulu, etc.)",Thriller,Anime,Cinema,Hollywood,Leonardo Dicaprio,Cilian Murphy,The Wolf of Wall Street,Game Of Thrones,5,24,Oppenheimer
73,CSIT 2026,Male,YouTube,Nepali,English,Rap / HipHop,Rock / Metal ,0,17,Drums,Piano,Selena Gomez,Pink Floyd,Youtube,Comedy/Thriller,Thriller/Mystery,TV/Laptop,Hollywood,Robert Downey Jr.,Henry Cavill,The Shawshank Redemption,The Witcher,1,2,Barbie
